theta1,theta2
81.01266854706141,94.0970219040222
79.7959798522275,95.02227483013307
78.53627245756607,95.92600206831723
77.23570113133323,96.80425612076407
75.89638783397446,97.65300515469437
74.52038408067347,98.46818785094631
73.10964045588295,99.24576021566918
71.66598450031013,99.98173260877401
70.19110733702769,100.67219643595772
68.6865586866823,101.3133409678339
67.15374940899302,101.90146149208682
65.59396041301189,102.43296044783786
64.00835667674488,102.90434336602267
62.398005160902926,103.31221140680535
60.763895539300606,103.65325211490318
59.10696285252427,103.92422976957171
57.428111385464476,104.12197643689134
55.72823924860295,104.24338457061846
54.0082632935707,104.28540177243882
52.269144109520504,104.24502812015069
50.51191092779196,104.1193163028473
48.73768631094846,103.9053746610244
46.947710522931466,103.60037311024665
45.14336547483196,103.20155182278825
43.32619812069916,102.70623244642009
41.49794314478852,102.11183154837472
39.6605447403659,101.41587588210149
37.816177235143066,100.61601898292551
35.967264274059524,99.71005850589124
34.11649623088831,98.6959536261055
32.26684549048724,97.57184173129578
30.421579227867124,96.33605355165062
28.584269312850335,94.9871257977076
26.75879899379071,93.52381031796898
24.949366063743554,91.94507874900756
23.160482289632732,90.25012161667955
21.39696898982665,88.43834086152631
19.663948776516513,86.50933480725739
17.9668336321923,84.46287466982237
16.31130965690536,82.29887181635596
14.703318993454827,80.01733512816247
13.149039594615887,77.61831800098228
11.654863616745349,75.10185473415753
10.227375274656769,72.46788633205122
8.873328926180225,69.7161760974035
7.599627901047422,66.84621589906985
6.413304040193157,63.85712476009014
5.321496899650656,60.74754263843908
4.331429829533546,57.51552430862291
3.4503772349146753,54.158441676169154
2.6856125876619,50.67290860812976
2.04431916246877,47.05475190416224
1.5334335736182223,43.29906748769252
1.1593742801388114,39.40042492018777
0.9275822046844711,35.35331804958582
0.8417707766727974,31.153002934039996
0.9027606312237417,26.7969006396162
1.1067956196802116,22.28672525924786
1.4433742791682787,17.631328310297516
1.8929764730350114,12.849800251101392
2.4256104099268443,7.973636982986553
3.00150640041528,3.046214354212722
3.574838196000248,-1.8816359234086812
4.099768071178998,-6.75907335376485
4.536490286506791,-11.542689758918694
4.85495005042159,-16.200919836577956
5.0355382306284895,-20.714553726141826
5.067643976048118,-25.07456283721783
4.947390138046621,-29.27899601692172
4.675474489764497,-33.330136284315216
4.2554948146761,-37.232375608720936
3.692791175051193,-40.990815595104486
2.993701734862014,-44.61043341028112
2.1651073577778477,-48.09563537069494
1.214162375666939,-51.45005717254239
0.1481387795772844,-54.6765130554168
-1.0256638887373932,-57.77703083011665
-2.299972749325667,-60.75293364469742
-3.6675777902204993,-63.604944743227634
-5.121360335622664,-66.3333009518413
-6.654319278875987,-68.93786633341209
-8.25959765431397,-71.41824085052458
-9.93051036022924,-73.77386090610176
-11.660572824818841,-76.00408987017954
-13.443529860873815,-78.10829749477573
-15.273383714484286,-80.0859276661163
-17.144420269251125,-81.93655435559519
-19.051232447790493,-83.65992596580394
-20.98874000626146,-85.25599855318583
-22.952205108942074,-86.7249586549436
-24.937243271779934,-88.06723665710388
-26.93982945657085,-89.28351181240627
-28.95629926664714,-90.37471015022297
-30.983345330824196,-91.34199661690012
-33.01800905871843,-92.18676284686501
-35.057668004343896,-92.91061199790919
-37.10001908555288,-93.51534209538002
-39.14305787586741,-94.00292932775065
-41.18505411574542,-94.37551272833922
-43.22452348724855,-94.63538167161553
-45.26019556649568,-94.78496761127757
-47.290977722466934,-94.82684148937867
-49.31591458401088,-94.76371824087721
-51.33414257259171,-94.59846978276622
-53.34483893151195,-94.33414776973261
-55.3471647245798,-93.97401715289638
-57.34020150039093,-93.52160109873557
-59.322881815692604,-92.98073698593119
-61.29391468947172,-92.35564185402497
-63.25170841528876,-91.65098370015713
-65.19429503097172,-90.87195236363084
-67.11926303172046,-90.02432055292893
-69.02370727560978,-89.11448234103835
-70.90420681028549,-88.14945411150723
-72.75684158851725,-87.13682281678003
-74.57725670781628,-86.08462993322158
-76.36077728066037,-85.00118749387882
-78.10256870025657,-83.89483444724225
-79.79782767163434,-82.77365479086508
-81.4419817631892,-81.64518944075158
-83.03087220948116,-80.51617768197367
-84.56089763918047,-79.3923594339365
-86.02910444046445,-78.27835778498526
-87.43321987917707,-77.17764624877252
-88.77163361989965,-76.0925915819831
-90.0433396503797,-75.02455405077887
-91.24785305011547,-73.97402372904354
-92.38511521848515,-72.94077279180652
-93.45539839465188,-71.92400793374033
-94.459216855334,-70.92251212937312
-95.39724897505316,-69.93476965587524
-96.27027182833476,-68.95907197600793
-97.07910830587926,-67.99360458700268
-97.8245857088025,-67.03651642608129
-98.50750430230839,-66.085974139382
-99.12861417702405,-65.14020372384073
-99.68859883979731,-64.19752194922623
-100.18806413387806,-63.25635970911274
-100.62753130508067,-62.315279131702866
-101.00743324713385,-61.37298596091606
-101.32811315599805,-60.42833842465756
-101.58982499120758,-59.48035355316777
-101.79273528075316,-58.52821169837694
-101.93692591664329,-57.571259832587245
-102.02239767456861,-56.60901406659747
-102.04907425693747,-55.6411617179459
-102.01680670765064,-54.667563173869816
-101.92537808258976,-53.68825372609072
-101.77450828462143,-52.70344550161746
-101.56385898817288,-51.71352957215696
-101.29303858786386,-50.719078291861415
-100.96160710965934,-49.72084788703702
-100.56908102260955,-48.71978130060231
-100.11493788531166,-47.7170112774279
-99.59862075443311,-46.713863663452116
-99.01954227353363,-45.71186088114945
-98.37708834948988,-44.71272553622862
-97.6706213115081,-43.71838410519959
-96.8994824344405,-42.730970650608946
-96.06299369437353,-41.75283051026669
-95.16045861075774,-40.78652390859972
-94.19116201634155,-39.83482944216009
-93.15436858465219,-38.90074739682599
-92.04931993578347,-37.987502860471025
-90.87523013621053,-37.09854860028944
-89.63127940922725,-36.23756767598834
-88.31660588220382,-35.40847575462914
-86.93029521930542,-34.61542307372669
-85.47136802969838,-33.86279595671518
-83.93876501074632,-33.155217704629436
-82.33132989705608,-32.49754854823204
-80.64779046030361,-31.89488411370506
-78.88673807294651,-31.352551484853393
-77.04660675823474,-30.87610136561994
-75.12565326901537,-30.47129395693627
-73.12194066997375,-30.144074816337245
-71.03332928511905,-29.900534966120745
-68.8574809064033,-29.746846591495473
-66.59188507530226,-29.689161509312942
-64.23392028156057,-29.733453894928846
-61.78096817437285,-29.885281451521458
-59.23060500642065,-30.149430893887025
-56.58090010003243,-30.529406498972353
-53.83085253326038,-31.026719896971414
-50.98098734606965,-31.639955639203208
-48.034100190283354,-32.3636363912478
-44.99607287758091,-33.18701011265912
-41.8765822213467,-34.093027555061624
-38.68942543401124,-35.05792073588008
-35.452168048345854,-36.05181408509265
-32.18497333981114,-37.040572372765155
-28.908788602968965,-37.98862476690707
-25.643372769295574,-38.86205045011112
-22.405726447046142,-39.6310951026907
-19.20927142144207,-40.27159509023073
-16.06379206560441,-40.76527305117501
-12.975912906840735,-41.099220305195445
-9.94982633127041,-41.26497691320362
-6.988047711846983,-41.25753474589997
-4.0920736784332865,-41.074449238636916
-1.2628986521070162,-40.71513060544208
1.498608818992186,-40.18031666426329
